Key,Chinese
InventoryItemDescriptions/InvDesc_269,明亮T恤
InventoryItemDescriptions/InvDesc_27,從那些大塊石頭中取出那些材料。 或者將普通巖石變成水泥。
InventoryItemDescriptions/InvDesc_270,穿上鞋子休閑一下吧。
InventoryItemDescriptions/InvDesc_271,用植物製成的柵欄。
InventoryItemDescriptions/InvDesc_272,這是便便。植物可能會喜歡它。
InventoryItemDescriptions/InvDesc_273,柵欄柱也是一盞燈
InventoryItemDescriptions/InvDesc_274,打開和關閉。
InventoryItemDescriptions/InvDesc_275,將會使植物生長得更快。
InventoryItemDescriptions/InvDesc_276,阻止你掉進去。
InventoryItemDescriptions/InvDesc_277,嘀嗒嘀嗒嘀嗒 -  BOOOM！
InventoryItemDescriptions/InvDesc_278,自動澆灌作物。
InventoryItemDescriptions/InvDesc_279,危險區域！
InventoryItemDescriptions/InvDesc_28,如此甜蜜。你可以用這個製糖！
InventoryItemDescriptions/InvDesc_280,Yaaar
InventoryItemDescriptions/InvDesc_281,但這並不意味著它的不酷。
InventoryItemDescriptions/InvDesc_282,幫助你看到的。
InventoryItemDescriptions/InvDesc_283,可以幫助你看起來很酷。
InventoryItemDescriptions/InvDesc_284,不要讓它掉下來。
InventoryItemDescriptions/InvDesc_285,幫助你看到的。
InventoryItemDescriptions/InvDesc_286,幫助你看到的。
InventoryItemDescriptions/InvDesc_287,可以幫助你看起來很酷。
InventoryItemDescriptions/InvDesc_288,幫助你看到的。
InventoryItemDescriptions/InvDesc_289,可以幫助你看起來很酷。
InventoryItemDescriptions/InvDesc_29,很棒的昆蟲，老兄。
InventoryItemDescriptions/InvDesc_290,幫助你看到的。
InventoryItemDescriptions/InvDesc_291,可以幫助你看起來很酷。
InventoryItemDescriptions/InvDesc_292,讓你這麼快活！
InventoryItemDescriptions/InvDesc_293,如此快活！
InventoryItemDescriptions/InvDesc_294,快活，快活！吼吼吼！
InventoryItemDescriptions/InvDesc_295,快活，快活！吼吼吼！
InventoryItemDescriptions/InvDesc_296,快活，快活！吼吼吼！
InventoryItemDescriptions/InvDesc_297,口感軟軟的
InventoryItemDescriptions/InvDesc_298, 令人噁心，到處都是白蟻。
InventoryItemDescriptions/InvDesc_299,這是錢。
InventoryItemDescriptions/InvDesc_3,由鏈條組成的鋸子。
InventoryItemDescriptions/InvDesc_30,喜歡的話可以把東西放在這裡
InventoryItemDescriptions/InvDesc_300,一天一蘋果，醫生遠離我
InventoryItemDescriptions/InvDesc_301,我猜這種木頭比其他木頭硬？
InventoryItemDescriptions/InvDesc_302,抓住一些東西。
InventoryItemDescriptions/InvDesc_303,我對此感到震驚。
InventoryItemDescriptions/InvDesc_304,可以將原木鋸成木板。
InventoryItemDescriptions/InvDesc_305,一塊桉樹木板。
InventoryItemDescriptions/InvDesc_306,一塊棕櫚木板。
InventoryItemDescriptions/InvDesc_307,一塊硬木板。
InventoryItemDescriptions/InvDesc_308,如果你烹飪過它就會很好吃。 如果你不烹飪，味道就差了點。
InventoryItemDescriptions/InvDesc_309,閃閃發光的珍珠。
InventoryItemDescriptions/InvDesc_31,我們可以在這裡建造風車！
InventoryItemDescriptions/InvDesc_310,如果你烹飪過它就會很好吃。 如果你不烹飪，味道就差了點。
InventoryItemDescriptions/InvDesc_311,怎麼會這樣呢？
InventoryItemDescriptions/InvDesc_312,怎麼會這樣呢？
InventoryItemDescriptions/InvDesc_313,長草了！
InventoryItemDescriptions/InvDesc_314,一條可供行走的木製道路。
InventoryItemDescriptions/InvDesc_315,5、6、7、8階級
InventoryItemDescriptions/InvDesc_316,不要試圖咀嚼這個。
InventoryItemDescriptions/InvDesc_317,它看起來像一棵松樹？
InventoryItemDescriptions/InvDesc_318,長成一棵棕櫚樹。
InventoryItemDescriptions/InvDesc_319,在旅途中睡覺。
InventoryItemDescriptions/InvDesc_32,木頭用來分隔東西。
InventoryItemDescriptions/InvDesc_320,健康。
InventoryItemDescriptions/InvDesc_321,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_322,煮熟並搗碎。
InventoryItemDescriptions/InvDesc_323,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_324,研磨后更入味。
InventoryItemDescriptions/InvDesc_325,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_326,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_327,要是我能進去就好了。
InventoryItemDescriptions/InvDesc_328,這很詭異嗎？
InventoryItemDescriptions/InvDesc_329,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_33,一塊桉樹木板。
InventoryItemDescriptions/InvDesc_330,我快哭了。
InventoryItemDescriptions/InvDesc_331,把它們播種到耕地上！
InventoryItemDescriptions/InvDesc_332,方便訪客安營紮寨的地方。
InventoryItemDescriptions/InvDesc_333,拉丁語的一天
InventoryItemDescriptions/InvDesc_334,這傢伙是個醫生。
InventoryItemDescriptions/InvDesc_335,捕捉。
InventoryItemDescriptions/InvDesc_336,名字有點意思。
InventoryItemDescriptions/InvDesc_337,一個巨大的魚！
InventoryItemDescriptions/InvDesc_338,好粗的尾巴！
InventoryItemDescriptions/InvDesc_339,這是一條魚？
InventoryItemDescriptions/InvDesc_34,中等的亮度光源。 將在一天結束時燒燬。
InventoryItemDescriptions/InvDesc_340,揚塵而去。
InventoryItemDescriptions/InvDesc_341,雞可以住在這。
InventoryItemDescriptions/InvDesc_342,可以購買農場動物的動物店契約。
InventoryItemDescriptions/InvDesc_343,一個可以放置飼料地方。
InventoryItemDescriptions/InvDesc_344,農場動物可以食用這些。
InventoryItemDescriptions/InvDesc_345,裡面有什麼？
InventoryItemDescriptions/InvDesc_346,一條由巖石製成的簡單道路。
InventoryItemDescriptions/InvDesc_347,大型動物可以住在這裡
InventoryItemDescriptions/InvDesc_348,召喚袋熊向你走來。
InventoryItemDescriptions/InvDesc_349,用此收集奶。
InventoryItemDescriptions/InvDesc_35,研究和發現新的製作配方的實驗室契約。
InventoryItemDescriptions/InvDesc_350,奶油可口！
InventoryItemDescriptions/InvDesc_351,裝飾花壇
InventoryItemDescriptions/InvDesc_352,走在它之下！
InventoryItemDescriptions/InvDesc_353,收穫在水下生長的東西。
InventoryItemDescriptions/InvDesc_354,小蝴蝶結
InventoryItemDescriptions/InvDesc_355,這將使太陽遠離你。
InventoryItemDescriptions/InvDesc_356,這將使太陽遠離你。
InventoryItemDescriptions/InvDesc_357,你可以騎小鴯鹋。
InventoryItemDescriptions/InvDesc_358,一個不錯的小水景。
InventoryItemDescriptions/InvDesc_359,準備飯菜的地方。
InventoryItemDescriptions/InvDesc_36,你可以住在這裡。
InventoryItemDescriptions/InvDesc_360,慶祝！
InventoryItemDescriptions/InvDesc_361,來自水和污垢。
InventoryItemDescriptions/InvDesc_362,好吃好吃。
InventoryItemDescriptions/InvDesc_363,香脆又新鮮！
InventoryItemDescriptions/InvDesc_364,溫暖你的肚子。
InventoryItemDescriptions/InvDesc_365,花盆裡的沙漠玫瑰。
InventoryItemDescriptions/InvDesc_366,一碗裝飾水果。
InventoryItemDescriptions/InvDesc_367,一個帶鬧鈴的鐘。
InventoryItemDescriptions/InvDesc_368,一個大的古董鐘。
InventoryItemDescriptions/InvDesc_369,這一切都很好。
InventoryItemDescriptions/InvDesc_37,這將使您的城鎮出現在地圖上！
InventoryItemDescriptions/InvDesc_370,它又小又可愛
InventoryItemDescriptions/InvDesc_371,木地板。
